name,risk_pct,blocked_sessions,session_rr,rr_default,one_at_a_time,h1_filter,cooldown,time_exit_min,atr_sl_mult,blocked_days,return_pct,net_profit,total_trades,win_rate,profit_factor,max_drawdown,max_drawdown_pct,avg_win,avg_loss,avg_r_multiple,max_consecutive_losses,best_trade,worst_trade
A3_H1False_CD4_TE120_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,4,120,1.5,[],-35.08,-3507.95,1567,35.74,0.98,10414.05,82.51,251.7,143.46,0.019,28,573.7,-252.34
A1_R1_BASIA_1atTrue,1,['ASIA'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,True,True,2,210,1.5,[],-37.99,-3799.08,704,30.4,0.89,4405.32,44.05,138.43,68.21,-0.0579,13,241.81,-98.94
A1_R1_BASIA_1atFalse,1,['ASIA'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],-42.33,-4232.65,1180,31.1,0.92,5149.46,51.41,133.72,65.57,-0.0301,19,235.03,-99.93
A1_R1_Bnone_1atTrue,1,[],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,True,True,2,210,1.5,[],-42.74,-4274.02,1038,31.79,0.91,4739.24,47.39,124.95,64.27,-0.044,18,237.6,-99.15
A1_R1_Bnone_1atFalse,1,[],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],-49.34,-4933.82,1751,32.5,0.93,5838.54,58.39,117.51,60.74,-0.0231,25,223.59,-99.15
A3_H1False_CD4_TE210_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,4,210,1.0,[],-49.61,-4960.91,1550,31.81,0.97,19335.5,92.34,313.81,151.06,0.0121,18,914.16,-418.49
A3_H1False_CD4_TE120_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,4,120,1.0,[],-55.24,-5523.59,1559,32.46,0.96,18630.44,92.65,288.99,144.11,0.0072,18,877.33,-402.11
A3_H1False_CD4_TE0_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,4,0,1.0,[],-55.51,-5550.68,1547,31.35,0.97,20250.55,91.95,330.55,156.18,0.0071,18,946.81,-440.08
A3_H1False_CD4_TE360_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,4,360,1.0,[],-60.3,-6029.52,1546,31.44,0.96,19984.27,92.98,307.39,146.62,0.0039,18,946.81,-429.66
A1_R2_BASIA_1atTrue,2,['ASIA'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,True,True,2,210,1.5,[],-66.18,-6617.65,704,30.4,0.85,6958.86,69.59,180.93,92.52,-0.0571,13,468.9,-197.92
A1_R2_Bnone_1atTrue,2,[],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,True,True,2,210,1.5,[],-73.72,-7372.48,1038,31.79,0.87,7496.61,74.97,147.62,79.22,-0.0451,18,452.08,-199.69
A1_R2_BASIA_1atFalse,2,['ASIA'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],-77.91,-7790.62,1180,31.1,0.88,8126.3,81.26,150.73,77.62,-0.0314,19,442.27,-199.86
A1_R2_Bnone_1atFalse,2,[],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],-85.24,-8524.31,1751,32.5,0.88,8770.25,87.7,115.08,62.61,-0.0239,25,399.76,-199.69
A1_R5_BASIA_1atTrue,5,['ASIA'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,True,True,2,210,1.5,[],-97.19,-9718.66,704,30.4,0.69,9749.7,97.5,99.03,63.08,-0.0553,13,1070.26,-499.21
A1_R5_Bnone_1atTrue,5,[],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,True,True,2,210,1.5,[],-99.62,-9961.94,1038,31.79,0.68,9969.7,99.7,62.8,43.34,-0.0615,18,967.23,-499.92
A1_R5_BASIA_1atFalse,5,['ASIA'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],-101.42,-10141.57,1180,31.1,0.7,10156.5,101.57,65.34,41.97,-0.1891,19,918.87,-499.21
A1_R5_Bnone_1atFalse,5,[],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],-101.9,-10189.59,1751,32.5,0.68,10204.53,102.05,37.6,26.72,0.285,25,723.32,-499.92
