name,risk_pct,rr,atr_sl,time_exit,cooldown,allowed_hours,blocked_days,return_pct,net_profit,total_trades,win_rate,profit_factor,max_drawdown_pct,avg_r_multiple,max_consecutive_losses
R3_RR3.5_SL1.5_TE0_CD0_BH913_BD24,3,3.5,1.5,0,0,"[8, 10, 11, 12]","[2, 4]",1739.27,173926.96,231,35.5,2.51,9.31,0.531,18
R5_RR2.0_SL2.0_TE360_CD0_BH913_BD2,5,2.0,2.0,360,0,"[8, 10, 11, 12]",[2],1738.8,173880.02,313,43.77,1.77,14.7,0.2589,15
R5_RR2.5_SL1.5_TE210_CD4_BH913_BD2,5,2.5,1.5,210,4,"[8, 10, 11, 12]",[2],1738.35,173834.79,300,39.33,1.94,14.29,0.2783,13
R5_RR3.5_SL2.5_TE0_CD4_BH913_BDnone,5,3.5,2.5,0,4,"[8, 10, 11, 12]",[],1737.9,173789.58,339,29.5,1.48,30.05,0.3045,16
R5_RR2.5_SL1.5_TE0_CD4_BHnone_BD2,5,2.5,1.5,0,4,all,[2],1734.48,173447.91,438,35.39,1.7,14.94,0.216,20
R3_RR3.5_SL2.0_TE0_CD2_BH913_BD24,3,3.5,2.0,0,2,"[8, 10, 11, 12]","[2, 4]",1720.68,172067.87,226,34.96,2.29,8.52,0.5416,13
R5_RR3.0_SL2.5_TE210_CD2_BH913_BDnone,5,3.0,2.5,210,2,"[8, 10, 11, 12]",[],1718.26,171826.49,352,43.75,1.75,17.28,0.2493,12
R3_RR3.5_SL1.5_TE210_CD4_BH913_BDnone,3,3.5,1.5,210,4,"[8, 10, 11, 12]",[],1710.59,171058.87,349,34.67,1.94,10.6,0.3611,15
R7_RR3.0_SL2.0_TE120_CD4_BHnone_BD24,7,3.0,2.0,120,4,all,"[2, 4]",1709.77,170977.09,326,44.48,1.5,29.3,0.195,11
R5_RR2.5_SL1.5_TE360_CD0_BH913_BDnone,5,2.5,1.5,360,0,"[8, 10, 11, 12]",[],1686.55,168655.11,366,37.16,1.61,16.37,0.2366,18
R5_RR2.5_SL2.5_TE120_CD2_BH9_BD2,5,2.5,2.5,120,2,"[8, 10, 11, 12, 13]",[2],1685.08,168507.63,382,49.21,1.51,22.16,0.2067,12
R5_RR2.5_SL2.5_TE210_CD2_BH913_BD2,5,2.5,2.5,210,2,"[8, 10, 11, 12]",[2],1674.4,167439.61,301,44.85,1.76,18.15,0.2699,12
R3_RR3.0_SL1.5_TE0_CD2_BH913_BDnone,3,3.0,1.5,0,2,"[8, 10, 11, 12]",[],1669.65,166964.5,360,34.44,1.8,12.73,0.3413,18
R3_RR3.0_SL1.5_TE0_CD4_BH913_BD2,3,3.0,1.5,0,4,"[8, 10, 11, 12]",[2],1669.47,166946.51,298,35.91,2.07,13.23,0.401,16
R5_RR2.0_SL2.0_TE0_CD4_BH913_BDnone,5,2.0,2.0,0,4,"[8, 10, 11, 12]",[],1668.92,166891.56,353,42.78,1.62,13.36,0.2329,16
