symbol,type,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,lot_size,profit,exit_reason,session,day_of_week,hour,month,duration_min,r_multiple,rr_ratio_used,risk_amount,balance_after,atr_at_entry,sl_distance_pts,sl_distance_pct
SP500.,LONG,2026-02-24 12:05:00,2026-02-24 12:45:00,6858.12,6852.645,6852.645,6871.807499999999,124.9,-683.83,SL,EUROPE,1,12,2026-02,40.0,-0.454,2.5,1507.29,29462.04,3.57,5.47,0.0008
NAS100.,LONG,2026-02-24 12:05:00,2026-02-24 13:15:00,24808.31,24782.054642857143,24782.054642857143,24873.948392857146,57.4,-1507.06,SL,EUROPE,1,12,2026-02,70.0,-1.0,2.5,1507.29,27954.98,17.5036,26.26,0.00106
DJ30.,LONG,2026-02-24 12:05:00,2026-02-24 14:45:00,48911.37,48877.51285714286,48877.51285714286,48996.012857142865,44.5,-1506.64,SL,EUROPE,1,12,2026-02,160.0,-1.0,2.5,1507.29,26448.34,22.5714,33.86,0.00069
NAS100.,LONG,2026-02-26 08:05:00,2026-02-26 10:10:00,25290.36,25331.47607142857,25273.913571428573,25331.47607142857,80.4,3305.73,TP,EUROPE,3,8,2026-02,125.0,2.5,2.5,1322.42,29754.07,10.9643,16.45,0.00065
DJ30.,LONG,2026-02-26 11:05:00,2026-02-26 13:45:00,49429.37,49507.798571428575,49397.99857142857,49507.798571428575,47.4,3717.51,TP,EUROPE,3,11,2026-02,160.0,2.499,2.5,1487.7,33471.59,20.9143,31.37,0.00063
NAS100.,SHORT,2026-02-26 13:25:00,2026-02-26 14:15:00,25330.36,25346.340357142857,25346.340357142857,25290.40910714286,93.0,-1486.17,SL,EUROPE,3,13,2026-02,50.0,-0.999,2.5,1487.7,31985.41,10.6536,15.98,0.00063
NAS100.,SHORT,2026-02-27 12:00:00,2026-02-27 12:30:00,24958.96,24990.420714285712,24990.420714285712,24880.308214285717,50.8,-1598.2,SL,EUROPE,4,12,2026-02,30.0,-0.999,2.5,1599.27,30387.21,20.3071,31.46,0.00126
SP500.,SHORT,2026-02-27 12:05:00,2026-02-27 12:30:00,6886.89,6893.405714285715,6893.405714285715,6870.600714285714,124.9,-813.81,SL,EUROPE,4,12,2026-02,25.0,-0.509,2.5,1599.27,29573.4,4.2571,6.52,0.00095
DJ30.,SHORT,2026-02-27 12:15:00,2026-02-27 13:40:00,49276.37,49168.67357142857,49319.44857142858,49168.67357142857,37.1,3995.54,TP,EUROPE,4,12,2026-02,85.0,2.498,2.5,1599.27,33568.93,29.3857,43.08,0.00087
NAS100.,LONG,2026-03-02 11:45:00,2026-03-02 13:45:00,24601.0,24703.232142857138,24560.107142857145,24703.232142857138,41.0,4191.52,TP,EUROPE,0,11,2026-03,120.0,2.497,2.5,1678.45,37760.45,27.9286,40.89,0.00166
SP500.,LONG,2026-03-02 11:35:00,2026-03-02 15:05:00,6802.7,6805.2,6791.232142857143,6831.369642857142,124.9,312.25,TIME,EUROPE,0,11,2026-03,210.0,0.186,2.5,1678.45,38072.7,7.4786,11.47,0.00169
DJ30.,LONG,2026-03-02 11:50:00,2026-03-02 15:20:00,48411.05,48548.35,48344.58928571429,48577.201785714286,25.2,3459.96,TIME,EUROPE,0,11,2026-03,210.0,2.061,2.5,1678.45,41532.66,44.3071,66.46,0.00137
DJ30.,SHORT,2026-03-04 08:00:00,2026-03-04 08:30:00,48307.37,48370.795000000006,48370.795000000006,48148.807499999995,32.7,-2074.0,SL,EUROPE,2,8,2026-03,30.0,-0.999,2.5,2076.63,39458.66,42.95,63.43,0.00131
DJ30.,LONG,2026-03-04 09:30:00,2026-03-04 10:20:00,48398.37,48344.48428571429,48344.48428571429,48533.08428571429,36.6,-1972.22,SL,EUROPE,2,9,2026-03,50.0,-1.0,2.5,1972.93,37486.45,37.2571,53.89,0.00111
SP500.,LONG,2026-03-04 09:25:00,2026-03-04 11:40:00,6789.47,6812.760178571429,6780.153928571429,6812.760178571429,124.9,2908.94,TP,EUROPE,2,9,2026-03,135.0,1.474,2.5,1972.93,40395.39,6.2107,9.32,0.00137
SP500.,LONG,2026-03-05 09:25:00,2026-03-05 09:50:00,6861.78,6853.83642857143,6853.83642857143,6881.638928571425,124.9,-992.15,SL,EUROPE,3,9,2026-03,25.0,-0.491,2.5,2019.77,39403.24,5.2957,7.94,0.00116
NAS100.,LONG,2026-03-05 09:40:00,2026-03-05 10:00:00,25051.93,25016.253214285716,25016.253214285716,25141.12196428571,56.6,-2019.31,SL,EUROPE,3,9,2026-03,20.0,-1.0,2.5,2019.77,37383.93,23.6179,35.68,0.00142
NAS100.,SHORT,2026-03-06 09:15:00,2026-03-06 09:20:00,25085.93,25105.015714285713,25105.015714285713,25038.215714285718,97.9,-1868.49,SL,EUROPE,4,9,2026-03,5.0,-1.0,2.5,1869.2,35515.44,13.0571,19.09,0.00076
SP500.,SHORT,2026-03-06 09:05:00,2026-03-06 09:20:00,6836.38,6840.439642857144,6840.439642857144,6826.230892857142,124.9,-507.05,SL,EUROPE,4,9,2026-03,15.0,-0.271,2.5,1869.2,35008.39,2.7064,4.06,0.00059
DJ30.,LONG,2026-03-10 08:40:00,2026-03-10 10:05:00,47655.38,47772.43357142857,47608.55857142857,47772.43357142857,37.3,4366.1,TP,EUROPE,1,8,2026-03,85.0,2.494,2.5,1750.42,39374.49,31.2143,46.82,0.00098
NAS100.,LONG,2026-03-10 08:50:00,2026-03-10 10:20:00,24948.27,25031.81464285714,24914.852142857144,25031.81464285714,52.3,4369.38,TP,EUROPE,1,8,2026-03,90.0,2.496,2.5,1750.42,43743.87,22.0786,33.42,0.00134
SP500.,LONG,2026-03-10 08:30:00,2026-03-10 10:20:00,6785.68,6804.556785714288,6778.129285714285,6804.556785714288,124.9,2357.71,TP,EUROPE,1,8,2026-03,110.0,1.347,2.5,1750.42,46101.58,5.0271,7.55,0.00111
SP500.,SHORT,2026-03-10 13:45:00,2026-03-10 14:00:00,6805.9,6815.141071428571,6815.141071428571,6782.79732142857,124.9,-1154.21,SL,EUROPE,1,13,2026-03,15.0,-0.501,2.5,2305.08,44947.37,6.2407,9.24,0.00136
SP500.,SHORT,2026-03-11 08:10:00,2026-03-11 08:25:00,6808.16,6811.6849999999995,6811.6849999999995,6799.347500000001,124.9,-440.27,SL,EUROPE,2,8,2026-03,15.0,-0.196,2.5,2247.37,44507.1,2.35,3.52,0.00052
DJ30.,SHORT,2026-03-11 08:15:00,2026-03-11 09:00:00,47895.38,47842.79964285715,47916.41214285714,47842.79964285715,106.8,5615.58,TP,EUROPE,2,8,2026-03,45.0,2.499,2.5,2247.37,50122.68,14.0214,21.03,0.00044
NAS100.,SHORT,2026-03-11 08:15:00,2026-03-11 09:00:00,25062.57,25023.025357142855,25078.387857142858,25023.025357142855,124.9,4939.13,TP,EUROPE,2,8,2026-03,45.0,2.198,2.5,2247.37,55061.81,10.3786,15.82,0.00063
DJ30.,LONG,2026-03-13 12:55:00,2026-03-13 14:00:00,46710.08,46868.54428571428,46646.69428571429,46868.54428571428,43.4,6877.35,TP,EUROPE,4,12,2026-03,65.0,2.498,2.5,2753.09,61939.16,42.2571,63.39,0.00136
NAS100.,LONG,2026-03-13 12:35:00,2026-03-13 14:00:00,24516.32,24626.431607142862,24472.275357142855,24626.431607142862,62.5,6881.98,TP,EUROPE,4,12,2026-03,85.0,2.5,2.5,2753.09,68821.14,29.3964,44.04,0.0018
SP500.,LONG,2026-03-13 12:50:00,2026-03-13 14:05:00,6674.27,6698.167321428575,6664.711071428571,6698.167321428575,124.9,2984.78,TP,EUROPE,4,12,2026-03,75.0,1.084,2.5,2753.09,71805.91,6.3793,9.56,0.00143
DJ30.,LONG,2026-03-17 11:55:00,2026-03-17 14:35:00,46847.05,47003.514285714286,46784.46428571429,47003.514285714286,57.3,8965.4,TP,EUROPE,1,11,2026-03,160.0,2.497,2.5,3590.3,80771.31,42.2571,62.59,0.00134
SP500.,LONG,2026-03-17 12:10:00,2026-03-17 15:05:00,6683.7,6705.358928571428,6675.036428571429,6705.358928571428,124.9,2705.2,TP,EUROPE,1,12,2026-03,175.0,0.753,2.5,3590.3,83476.52,5.7757,8.66,0.0013
SP500.,LONG,2026-03-18 12:45:00,2026-03-18 13:00:00,6759.05,6754.308928571429,6754.308928571429,6770.902678571429,124.9,-592.16,SL,EUROPE,2,12,2026-03,15.0,-0.142,2.5,4173.83,82884.36,3.2407,4.74,0.0007
NAS100.,LONG,2026-03-18 12:25:00,2026-03-18 13:55:00,24989.11,24966.118928571428,24966.118928571428,25046.58767857143,124.9,-2871.58,SL,EUROPE,2,12,2026-03,90.0,-0.688,2.5,4173.83,80012.77,15.1607,22.99,0.00092
DJ30.,SHORT,2026-03-19 08:10:00,2026-03-19 08:40:00,46276.35,46204.564285714296,46305.06428571428,46204.564285714296,124.9,8966.04,TP,EUROPE,3,8,2026-03,30.0,2.241,2.5,4000.64,88978.81,19.1429,28.71,0.00062
DJ30.,LONG,2026-03-19 13:15:00,2026-03-19 14:20:00,46229.05,46134.66785714286,46134.66785714286,46465.00535714287,47.1,-4445.4,SL,EUROPE,3,13,2026-03,65.0,-0.999,2.5,4448.94,84533.41,63.1214,94.38,0.00204
NAS100.,LONG,2026-03-19 13:05:00,2026-03-19 14:20:00,24419.16,24359.95464285714,24359.95464285714,24567.17339285715,75.1,-4446.32,SL,EUROPE,3,13,2026-03,75.0,-0.999,2.5,4448.94,80087.08,39.3036,59.21,0.00242
SP500.,LONG,2026-03-19 13:05:00,2026-03-19 14:20:00,6623.88,6609.459285714285,6609.459285714285,6659.931785714287,124.9,-1801.15,SL,EUROPE,3,13,2026-03,75.0,-0.405,2.5,4448.94,78285.94,9.6071,14.42,0.00218
DJ30.,LONG,2026-03-20 11:05:00,2026-03-20 11:25:00,46196.05,46150.889285714286,46150.889285714286,46308.95178571429,86.6,-3910.92,SL,EUROPE,4,11,2026-03,20.0,-0.999,2.5,3914.3,74375.02,30.3071,45.16,0.00098
